Index;track_name;artist(s)_name;released_year;released_month;released_day
608;Smells Like Teen Spirit - Remastered 2021;Nirvana;1991;9;10
609;Arcade;Duncan Laurence;2019;3;7
610;Fair Trade (with Travis Scott);Drake, Travis Scott;2021;9;3
611;Bar;Tini, L-Gante;2021;11;11
612;The Rumbling (TV Size);SiM;2022;1;10
613;family ties (with Kendrick Lamar);Kendrick Lamar, Baby Keem;2021;8;27
614;Mr. Brightside;The Killers;2003;9;23
615;Blessed-Cursed;ENHYPEN;2022;1;10
616;AM Remix;J Balvin, Nio Garcia, Bad Bunny;2021;6;24
617;Streets;Doja Cat;2019;11;7
618;Shallow;Lady Gaga, Bradley Cooper;2018;9;27
619;Polaroid Love;ENHYPEN;2022;1;10
620;Leave Before You Love Me (with Jonas Brothers);Marshmello, Jonas Brothers;2021;4;28
621;Permission to Dance;BTS;2021;7;9
622;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine;2021;1;15
623;RAPSTAR;Polo G;2021;4;9
624;'Till I Collapse;Eminem, Nate Dogg;2002;5;26
625;Memories;Maroon 5;2019;9;20
626;Se Le Ve;Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music;2021;8;12
627;25k jacket (feat. Lil Baby);Gunna, Lil Baby;2022;1;7
628;When Iï¿½ï¿½ï¿½m Gone (with Katy ;Katy Perry, Alesso;2021;12;29
629;Esqueï¿½ï¿½a-Me Se For C;Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &;2021;10;14
630;Miï¿½ï¿½n;Tini, Maria Becerra;2021;4;29
631;Sï¿½ï¿½;Anuel Aa, Myke Towers, Jhay Cortez;2021;11;18
632;MAMIII;Karol G, Becky G;2022;2;10
633;Still D.R.E.;Dr. Dre, Snoop Dogg;1999;1;1
634;Stay Alive (Prod. SUGA of BTS);Jung Kook;2022;2;11
635;Boyfriend;Dove Cameron;2022;2;11
636;The Joker And The Queen (feat. Taylor Swift);Ed Sheeran, Taylor Swift;2022;2;11
637;The Next Episode;Dr. Dre, Snoop Dogg;1999;1;1
638;Light Switch;Charlie Puth;2022;1;19
639;City of Gods;Kanye West, Alicia Keys, Fivio Foreign;2022;2;11
640;Brividi;Mahmood, Blanco;2022;2;2
641;Lost;Frank Ocean;2012;1;1
642;In Da Club;50 Cent;2002;1;1
643;she's all i wanna be;Tate McRae;2022;2;4
644;Ginseng Strip 2002;Yung Lean;2013;8;16
645;All For Us - from the HBO Original Series Euphoria;Labrinth, Zendaya;2019;8;4
646;Notion;The Rare Occasions;2016;8;5
647;Formula;Labrinth;2019;10;4
648;Mount Everest;Labrinth;2019;6;21
649;Excuses;Intense, AP Dhillon, Gurinder Gill;2020;7;24
650;Cigarettes;Juice WRLD;2021;12;10
651;California Love - Original Version (Explicit);Dr. Dre, 2Pac, Roger;1995;12;28
652;Forgot About Dre;Eminem, Dr. Dre;1999;1;1
653;Down Under (feat. Colin Hay);Luude, Colin Hay;2021;11;19
654;Mujeriego;Ryan Castro;2021;12;17
655;HUMBLE.;Kendrick Lamar;2017;3;30
656;Stan;Eminem, Dido;1999;11;21
657;Contection;GODZZ__-, Zakaria;2020;1;16
658;Swim;Chase Atlantic;2017;10;4
659;A Tu Merced;Bad Bunny;2020;2;29
660;Numb Little Bug;Em Beihold;2022;1;28
661;212;Mainstreet, Chefin;2022;1;15
662;Problemï¿½;Alvaro Diaz, Rauw Alejandro;2021;10;22
663;Bussin;Nicki Minaj, Lil Baby;2022;2;11
664;Worst Day;Future;2022;2;11
665;Malvada;Zï¿½ï¿½ Fe;2022;1;28
666;Hrs and Hrs;Muni Long;2021;11;19
667;Alien Blues;Vundabar;2015;7;24
668;Thinking Out Loud;Ed Sheeran;2014;1;1
669;Still Don't Know My Name;Labrinth;2019;10;4
670;Christmas Tree;V;2021;12;24
671;Mal Feito - Ao Vivo;Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G;2022;1;14
672;When I R.I.P.;Labrinth;2019;10;4
673;Do We Have A Problem?;Nicki Minaj, Lil Baby;2022;2;4
674;Forever;Labrinth;2019;10;4
675;Gospel (with Eminem);Eminem, Dr. Dre;2022;2;4
676;Seï¿½ï¿½o;Shawn Mendes, Camila Cabello;2019;6;19
677;NEW MAGIC WAND;Tyler, The Creator;2019;5;16
678;Adore You;Harry Styles;2019;12;6
679;La Santa;Daddy Yankee, Bad Bunny;2020;2;29
680;Something In The Way - Remastered 2021;Nirvana;1991;9;24
681;Sweetest Pie;Dua Lipa, Megan Thee Stallion;2022;3;11
682;Bam Bam (feat. Ed Sheeran);Camila Cabello, Ed Sheeran;2022;3;4
683;Una Noche en Medellï¿½;Cris Mj;2022;1;21
684;Envolver;Anitta;2021;11;11
685;Starlight;Dave;2022;3;3
686;Hati-Hati di Jalan;Tulus;2022;3;3
687;"I'm Tired - From ""Euphoria"" An Original HBO Series";Labrinth;2022;2;4
688;DANï¿½ï¿½A;Mc Pedrinho, Pedro Sampaio;2022;2;1
689;Yo Voy (feat. Daddy Yankee);Zion & Lennox;2004;5;4
690;Jordan;Ryan Castro;2021;4;30
691;Nail Tech;Jack Harlow;2022;2;18
692;Chale;Eden Muï¿½ï;2022;2;18
693;DARARI;Treasure;2022;2;15
694;Ya No Somos Ni Seremos;Christian Nodal;2022;2;18
695;Thinking with My Dick;Kevin Gates, Juicy J;2013;7;16
696;Freaky Deaky;Tyga, Doja Cat;2022;2;25
697;this is what falling in love feels like;JVKE;2021;9;3
698;La Zona;Bad Bunny;2020;2;29
699;Bohemian Rhapsody - Remastered 2011;Queen;1975;10;31
700;Hope;XXXTENTACION;2018;3;16
701;Levitating;Dua Lipa;2020;3;27
702;Wake Me Up - Radio Edit;Avicii;2013;1;1
703;Monï¿½ï¿½y so;YEAT;2021;9;10
704;Demasiadas Mujeres;C. Tangana;2020;10;8
705;Something Just Like This;The Chainsmokers, Coldplay;2017;2;22
706;Closer;The Chainsmokers, Halsey;2016;5;31
707;O.O;NMIXX;2022;2;22
708;Somebody That I Used To Know;Gotye, Kimbra;2011;1;1
709;Tom's Diner;AnnenMayKantereit, Giant Rooks;2019;6;28
710;First Class;Jack Harlow;2022;4;8
711;Plan A;Paulo Londra;2022;3;23
712;Fuera del mercado;Danny Ocean;2022;2;17
713;X ï¿½ï¿½LTIMA;Daddy Yankee, Bad Bunny;2022;3;25
714;When You're Gone;Shawn Mendes;2022;3;31
715;In My Head;Lil Tjay;2022;4;1
716;Wait a Minute!;Willow;2015;1;11
717;LOVE DIVE;IVE;2022;4;5
718;Pantysito;Feid, Alejo, Robi;2022;3;18
719;Chance;Paulo Londra;2022;4;6
720;Cool for the Summer;Demi Lovato;2015;1;1
721;psychofreak (feat. WILLOW);Camila Cabello, Willow;2022;4;7
722;Angel Baby;Troye Sivan;2021;9;9
723;Vampiro;Matuï¿½ï¿½, Wiu, ;2022;1;30
724;Si Quieren Frontear;De La Ghetto, Duki, Quevedo;2022;3;31
725;Right On;Lil Baby;2022;4;8
726;Me Arrepentï¿;Ak4:20, Cris Mj, Pailita;2022;3;30
727;That's Hilarious;Charlie Puth;2022;4;8
728;Soy El Unico;Yahritza Y Su Esencia;2022;3;25
729;RUMBATï¿½;Daddy Yankee;2022;3;25
730;sentaDONA (Remix) s2;Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K;2022;3;17
731;Falling;Harry Styles;2019;12;13
732;Sigue;Ed Sheeran, J Balvin;1996;11;24
733;Fim de Semana no Rio;teto;2022;3;30
734;MANIAC;Stray Kids;2022;3;18
735;There's Nothing Holdin' Me Back;Shawn Mendes;2016;9;23
736;IDGAF (with blackbear);Blackbear, BoyWithUke;2022;3;18
737;Golden;Harry Styles;2019;12;13
738;Get Lucky - Radio Edit;Pharrell Williams, Nile Rodgers, Daft Punk;2013;1;1
739;Ain't Shit;Doja Cat;2021;6;25
740;"Nobody Like U - From ""Turning Red""";Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill;2022;2;25
741;Still Life;BIGBANG;2022;4;5
742;Photograph;Ed Sheeran;2014;6;20
743;Love Yourself;Justin Bieber;2015;11;9
744;N95;Kendrick Lamar;2022;5;13
745;About Damn Time;Lizzo;2022;4;14
746;Die Hard;Kendrick Lamar, Blxst, Amanda Reifer;2022;5;13
747;Despuï¿½ï¿½s de la P;Bad Bunny;2022;5;6
748;Un Ratito;Bad Bunny;2022;5;6
749;United In Grief;Kendrick Lamar;2022;5;13
750;Father Time (feat. Sampha);Kendrick Lamar, Sampha;2022;5;13
751;Yo No Soy Celoso;Bad Bunny;2022;5;6
752;Rich Spirit;Kendrick Lamar;2022;5;13
753;Cooped Up (with Roddy Ricch);Post Malone, Roddy Ricch;2022;5;12
754;Me Fui de Vacaciones;Bad Bunny;2022;5;6
755;Silent Hill;Kendrick Lamar, Kodak Black;2022;5;13
756;La Corriente;Tony Dize, Bad Bunny;2022;5;6
757;Count Me Out;Kendrick Lamar;2022;5;13
758;Andrea;Buscabulla, Bad Bunny;2022;5;6
759;Dos Mil 16;Bad Bunny;2022;5;6
760;We Cry Together;Kendrick Lamar, Taylour Paige;2022;5;13
761;Savior;Kendrick Lamar, Sam Dew, Baby Keem;2022;5;13
762;Un Coco;Bad Bunny;2022;5;6
763;Otro Atardecer;Bad Bunny, The Marï¿½ï;2022;5;6
764;Worldwide Steppers;Kendrick Lamar;2022;5;13
765;Aguacero;Bad Bunny;2022;5;6
766;Purple Hearts;Kendrick Lamar, Ghostface Killah, Summer Walker;2022;5;13
767;Un Verano Sin Ti;Bad Bunny;2022;5;6
768;ULTRA SOLO;Polima WestCoast, Pailita;2022;2;14
769;Ensï¿½ï¿½ï¿½ï¿½ame ;Bad Bunny;2022;5;6
770;El Apagï¿½;Bad Bunny;2022;5;6
771;Callaita;Bad Bunny, Tainy;2019;5;31
772;Dua Lipa;Jack Harlow;2022;5;6
773;Agosto;Bad Bunny;2022;5;6
774;House Of Memories;Panic! At The Disco;2016;1;15
775;Mr. Morale;Kendrick Lamar, Tanna Leone;2022;5;13
776;That That (prod. & feat. SUGA of BTS);PSY, Suga;2022;4;29
777;In The Stars;Benson Boone;2022;4;29
778;Rich - Interlude;Kendrick Lamar;2022;5;13
779;SUPERMODEL;Mï¿½ï¿½ne;2022;5;13
780;Stefania (Kalush Orchestra);KALUSH;2022;3;10
781;Thousand Miles;The Kid Laroi;2022;4;22
782;Crown;Kendrick Lamar;2022;5;13
783;Auntie Diaries;Kendrick Lamar;2022;5;13
784;PUFFIN ON ZOOTIEZ;Future;2022;4;29
785;Mirror;Kendrick Lamar;2022;5;13
786;Beautiful Girl;Luciano;2022;4;22
787;Savior - Interlude;Kendrick Lamar;2022;5;13
788;Pasoori;Shae Gill, Ali Sethi;2022;2;6
789;Mother I Sober (feat. Beth Gibbons of Portishead);Kendrick Lamar, Beth Gibbons;2022;5;13
790;TUS Lï¿½ï¿½GR;Sech, Mora;2022;4;1
791;Where Did You Go?;MNEK, Jax Jones;2022;1;26
792;I Tried to Tell Y'all;Ugly Dray, Tesla Jnr;2022;5;6
793;Honest (feat. Don Toliver);Justin Bieber, Don Toliver;2022;4;29
794;ZOOM;Jessi;2022;4;13
795;SloMo;Chanel;2021;12;24
796;FEARLESS;LE SSERAFIM;2022;5;2
797;10 Things I Hate About You;Leah Kate;2022;3;23
798;SPACE MAN;Sam Ryder;2022;2;22
799;With you;HA SUNG WOON, Jimin;2022;4;24
800;Iris;The Goo Goo Dolls;1998;3;31
801;The Heart Part 5;Kendrick Lamar;2022;5;8
802;San Lucas;Kevin Kaarl;2019;11;7
803;This Love (Taylorï¿½ï¿½ï¿½s Ve;Taylor Swift;2022;5;6
804;Good Looking;Suki Waterhouse;2017;10;20
805;Flowers;Lauren Spencer Smith;2021;8;9
806;Yet To Come;BTS;2022;6;10
807;Run BTS;BTS;2022;6;10
808;Music For a Sushi Restaurant;Harry Styles;2022;5;20
809;Matilda;Harry Styles;2022;5;20
810;For Youth;BTS;2022;6;10
811;Daylight;Harry Styles;2022;5;20
812;Vegas (From the Original Motion Picture Soundtrack ELVIS);Doja Cat;2022;5;6
813;Cash In Cash Out;Pharrell Williams, Tyler, The Creator, 21 Savage;2022;6;10
814;Potion (with Dua Lipa & Young Thug);Calvin Harris, Dua Lipa, Young Thug;2022;5;27
815;Born Singer;BTS;2022;6;10
816;Little Freak;Harry Styles;2022;5;20
817;La Llevo Al Cielo (Ft. ï¿½ï¿½engo F;Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone;2022;5;20
818;True Love;Kanye West, XXXTENTACION;2022;5;27
819;Satellite;Harry Styles;2022;5;20
820;Pass The Dutchie;Musical Youth;1982;1;1
821;Love Of My Life;Harry Styles;2022;5;20
822;Grapejuice;Harry Styles;2022;5;20
823;So Good;Halsey;2022;6;9
824;Belly Dancer;BYOR, Imanbek;2022;2;18
825;Keep Driving;Harry Styles;2022;5;20
826;Cinema;Harry Styles;2022;5;20
827;Die Young (feat. 347aidan);Sleepy hallow, 347aidan;2022;5;25
828;Only Love Can Hurt Like This;Paloma Faith;2014;1;1
829;Hold My Hand;Lady Gaga;2022;5;3
830;Daydreaming;Harry Styles;2022;5;20
831;Numb;Marshmello, Khalid;2022;6;10
832;Nos Comemos (feat. Ozuna);Ozuna, Tiago pzk;2022;6;2
833;Me and Your Mama;Childish Gambino;2016;11;10
834;Crazy What Love Can Do;David Guetta, Ella Henderson, Becky Hill;2022;3;18
835;SLOW DANCING IN THE DARK;Joji;2018;9;12
836;Antes de Perderte;Duki;2022;6;2
837;Boyfriends;Harry Styles;2022;5;20
838;295;Sidhu Moose Wala;2021;5;15
839;Tak Ingin Usai;Keisya Levronka;2022;5;13
840;En El Radio Un Cochinero;Victor Cibrian;2022;5;13
841;Master of Puppets (Remastered);Metallica;1986;3;3
842;BREAK MY SOUL;Beyoncï¿;2022;6;21
843;ULTRA SOLO REMIX;De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita;2022;6;16
844;Massive;Drake;2022;6;17
845;Betty (Get Money);Yung Gravy;2022;6;10
846;Ojos Marrones;Lasso;2022;2;6
847;POP!;Nayeon;2022;6;24
848;Layla;Schï¿½ï¿½rze, DJ R;2022;3;24
849;MORE;j-hope;2022;7;1
850;Sweet Child O' Mine;Guns N' Roses;1987;1;1
851;Last Last;Burna Boy;2022;5;12
852;SNAP;Rosa Linn;2022;3;19
853;Sticky;Drake;2022;6;17
854;Hot Shit (feat. Ye & Lil Durk);Kanye West, Lil Durk, Cardi B;2022;7;1
855;Ai Preto;L7nnon, DJ Biel do Furduncinho, Bianca;2022;6;3
856;La Loto;Anitta, Tini, Becky G;2022;7;6
857;die first;Nessa Barrett;2022;6;24
858;Afraid To Feel;LF System;2022;5;2
859;Baile no Morro;Mc Vitin Da Igrejinha, MC Tairon, DJ Win;2022;6;10
860;cï¿½ï¿½mo dormi;Rels B;2022;8;4
861;Bad Decisions (with BTS & Snoop Dogg);Snoop Dogg, BTS, Benny Blanco;2022;8;5
862;STAYING ALIVE (feat. Drake & Lil Baby);Drake, DJ Khaled, Lil Baby;2022;8;5
863;Caile;Luar La L;2020;12;18
864;Si Te La Encuentras Por Ahï¿;Feid;2022;8;5
865;GIVENCHY;Duki;2022;7;20
866;ALIEN SUPERSTAR;Beyoncï¿;2022;7;29
867;Mary On A Cross;Ghost;2019;9;13
868;Attention;NewJeans;2022;8;1
869;THE SHADE;Rex Orange County;2022;3;11
870;"Come Back Home - From ""Purple Hearts""";Sofia Carson;2022;7;12
871;El Rescate;Grupo Marca Registrada, Junior H;2022;7;22
872;Heartless;Kanye West;2008;1;1
873;Siempre Pendientes;Peso Pluma, Luis R Conriquez;2022;8;15
874;JGL;Luis R Conriquez, La Adictiva;2022;2;18
875;Don't You Worry;David Guetta, Shakira, Black Eyed Peas;2022;6;16
876;Pipoco;Melody, Ana Castela, Dj Chris No Beat;2022;5;20
877;Hold Me Closer;Elton John, Britney Spears;2017;11;10
878;Forget Me;Lewis Capaldi;2022;9;9
879;After LIKE;IVE;2022;8;22
880;Bound 2;Kanye West;2013;1;1
881;B.O.T.A. (Baddest Of Them All) - Edit;Interplanetary Criminal, Eliza Rose;2022;6;15
882;Talk that Talk;TWICE;2022;8;26
883;BILLIE EILISH.;Armani White;2022;1;20
884;Ferxxo 100;Feid;2022;6;3
885;KU LO SA - A COLORS SHOW;Oxlade;2022;6;10
886;Prohibidox;Feid;2022;9;13
887;Static;Steve Lacy;2022;7;15
888;The Scientist;Coldplay;2002;8;5
889;Sparks;Coldplay;2000;7;10
890;Talk;YEAT;2022;9;2
891;XQ Te Pones Asï¿;Yandel, Feid;2022;9;13
892;Selfish;PnB Rock;2016;6;23
893;Sin Seï¿½ï;Ovy On The Drums, Quevedo;2022;7;22
894;Lady Mi Amor;Feid;2022;9;13
895;Poland;Lil Yachty;2022;6;23
896;THE LONELIEST;Mï¿½ï¿½ne;2022;10;7
897;Bye Bye;Marshmello, Juice WRLD;2022;10;14
898;BABY OTAKU;Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla;2022;8;18
899;Nxde;(G)I-DLE;2022;10;17
900;Miss You;Southstar;1982;5;16
901;we fell in love in october;girl in red;2018;11;21
902;2 Be Loved (Am I Ready);Lizzo;2022;7;14
903;Celestial;Ed Sheeran;2022;9;29
904;Typa Girl;BLACKPINK;2022;9;16
905;I Really Want to Stay at Your House;Rosa Walton, Hallie Coggins;2020;12;18
906;California Breeze;Lil Baby;2022;10;14
907;Bamba (feat. Aitch & BIA);Luciano, Aitch, Bï¿½;2022;9;22
908;Casei Com a Putaria;MC Ryan SP, Love Funk, Mc Paiva ZS;2022;7;1
909;Major Distribution;Drake, 21 Savage;2022;11;4
910;Pussy & Millions (feat. Travis Scott);Drake, Travis Scott, 21 Savage;2022;11;4
911;Vigilante Shit;Taylor Swift;2022;10;21
912;Question...?;Taylor Swift;2022;10;21
913;On BS;Drake, 21 Savage;2022;11;4
914;Mastermind;Taylor Swift;2022;10;21
915;Circo Loco;Drake, 21 Savage;2022;11;4
916;Labyrinth;Taylor Swift;2022;10;21
917;Spin Bout U;Drake, 21 Savage;2022;11;4
918;Sweet Nothing;Taylor Swift;2022;10;21
919;Con La Brisa;Ludwig Goransson, Foudeqush;2022;11;4
920;Privileged Rappers;Drake, 21 Savage;2022;11;4
921;The Astronaut;Jin;2022;10;28
922;BackOutsideBoyz;Drake;2022;11;4
923;Broke Boys;Drake, 21 Savage;2022;11;4
924;The Great War;Taylor Swift;2022;10;21
925;My Mind & Me;Selena Gomez;2022;11;3
926;Bigger Than The Whole Sky;Taylor Swift;2022;10;21
927;A Veces (feat. Feid);Feid, Paulo Londra;2022;11;3
928;En La De Ella;Feid, Sech, Jhayco;2022;10;20
929;Alone;Burna Boy;2022;11;4
