Client ID;Location ;Date;Products;;;;;;
1;Ankeny, IA;04/01/2023;1,12,16,14;;;;;;
2;Phoenix, AZ;27/05/2023;25,8,24,5;;;;;;
3;Baton Rouge, LA;25/02/2023;25,12,19,20;;;;;;
4;Maumee, OH;05/06/2023;8,21,12,4;;;;;;
5;Laurinburg, NC;03/05/2023;1,23,22,14;;;;;;
6;Texas City, TX;28/01/2023;10,8,1,20;;;;;;
7;West Palm Beach, FL;13/02/2023;17,5,20,4;;;;;;
8;Torrance, CA;16/04/2023;24,22,12,8;;;;;;
9;Chester, PA;10/06/2023;21,3,15,24;;;;;;
10;Waterville, OH;18/06/2023;6,1,2,4;;;;;;
1;Ankeny, IA;04/04/2023;24,24,6,24;;;;;;
2;Phoenix, AZ;24/04/2023;15,5,4,19;;;;;;
3;Baton Rouge, LA;04/05/2023;11,25,16,4;;;;;;
4;Maumee, OH;16/06/2023;1,8,7,9;;;;;;
5;Laurinburg, NC;09/01/2023;1,25,9,7;;;;;;
6;Texas City, TX;01/05/2023;14,15,5,20;;;;;;
7;West Palm Beach, FL;24/01/2023;11,6,23,2;;;;;;
8;Torrance, CA;23/05/2023;5,2,11,23;;;;;;
9;Chester, PA;23/03/2023;7,7,25,22;;;;;;
10;Waterville, OH;26/01/2023;13,22,3,6;;;;;;
1;Ankeny, IA;12/05/2023;10,16,9,4;;;;;;
2;Phoenix, AZ;21/03/2023;11,8,17,4;;;;;;
3;Baton Rouge, LA;22/03/2023;6,3,1,19;;;;;;
4;Maumee, OH;17/01/2023;25,24,11,9;;;;;;
5;Laurinburg, NC;12/05/2023;4,19,5,19;;;;;;
6;Texas City, TX;22/01/2023;20,12,3,15;;;;;;
7;West Palm Beach, FL;14/02/2023;24,14,16,24;;;;;;
8;Torrance, CA;15/03/2023;15,14,3,23;;;;;;
9;Chester, PA;18/06/2023;16,17,19,10;;;;;;
10;Waterville, OH;25/01/2023;13,9,18,17;;;;;;
1;Ankeny, IA;19/03/2023;10,16,10,7;;;;;;
2;Phoenix, AZ;26/06/2023;18,25,24,3;;;;;;
3;Baton Rouge, LA;01/05/2023;9,16,17,10;;;;;;
4;Maumee, OH;16/02/2023;9,11,5,25;;;;;;
5;Laurinburg, NC;06/02/2023;6,2,13,5;;;;;;
6;Texas City, TX;12/01/2023;20,16,21,24;;;;;;
7;West Palm Beach, FL;16/01/2023;9,17,22,24;;;;;;
8;Torrance, CA;18/06/2023;16,8,16,7;;;;;;
9;Chester, PA;01/01/2023;22,23,9,20;;;;;;
10;Waterville, OH;20/01/2023;24,10,2,7;;;;;;
1;Ankeny, IA;10/06/2023;25,13,18,3;;;;;;
2;Phoenix, AZ;02/05/2023;8,2,14,21;;;;;;
3;Baton Rouge, LA;12/05/2023;11,9,13,18;;;;;;
4;Maumee, OH;31/01/2023;12,17,21,1;;;;;;
5;Laurinburg, NC;09/01/2023;23,7,22,3;;;;;;
6;Texas City, TX;21/01/2023;11,4,9,13;;;;;;
7;West Palm Beach, FL;29/03/2023;4,22,17,20;;;;;;
8;Torrance, CA;07/06/2023;5,17,10,1;;;;;;
9;Chester, PA;11/06/2023;14,20,25,12;;;;;;
10;Waterville, OH;17/02/2023;18,22,8,12;;;;;;
1;Ankeny, IA;28/05/2023;6,24,24,21;;;;;;
2;Phoenix, AZ;27/02/2023;25,9,7,20;;;;;;
3;Baton Rouge, LA;15/05/2023;19,23,4,16;;;;;;
4;Maumee, OH;29/04/2023;25,4,25,2;;;;;;
5;Laurinburg, NC;08/05/2023;16,10,23,13;;;;;;
6;Texas City, TX;27/02/2023;9,9,9,9;;;;;;
7;West Palm Beach, FL;13/02/2023;18,21,15,22;;;;;;
8;Torrance, CA;15/04/2023;3,25,19,6;;;;;;
9;Chester, PA;07/05/2023;6,1,12,1;;;;;;
10;Waterville, OH;13/04/2023;10,4,14,7;;;;;;
1;Ankeny, IA;11/06/2023;3,13,6,18;;;;;;
2;Phoenix, AZ;29/01/2023;9,2,17,19;;;;;;
3;Baton Rouge, LA;02/04/2023;6,1,12,23;;;;;;
4;Maumee, OH;02/02/2023;16,22,6,4;;;;;;
5;Laurinburg, NC;24/02/2023;16,1,14,14;;;;;;
6;Texas City, TX;09/04/2023;15,14,5,20;;;;;;
7;West Palm Beach, FL;25/02/2023;14,7,15,7;;;;;;
8;Torrance, CA;05/05/2023;16,5,13,2;;;;;;
9;Chester, PA;05/05/2023;12,4,18,17;;;;;;
10;Waterville, OH;23/05/2023;11,25,25,13;;;;;;
1;Ankeny, IA;20/01/2023;13,17,14,21;;;;;;
2;Phoenix, AZ;19/04/2023;13,3,25,2;;;;;;
3;Baton Rouge, LA;30/04/2023;9,15,14,6;;;;;;
4;Maumee, OH;07/05/2023;16,22,11,16;;;;;;
5;Laurinburg, NC;24/01/2023;18,2,13,17;;;;;;
6;Texas City, TX;10/06/2023;1,7,5,20;;;;;;
7;West Palm Beach, FL;22/01/2023;18,21,16,17;;;;;;
8;Torrance, CA;26/06/2023;3,16,9,25;;;;;;
9;Chester, PA;11/06/2023;7,19,14,11;;;;;;
10;Waterville, OH;01/03/2023;7,11,21,1;;;;;;
1;Ankeny, IA;09/03/2023;6,12,17,20;;;;;;
2;Phoenix, AZ;06/04/2023;8,24,25,22;;;;;;
3;Baton Rouge, LA;23/01/2023;10,1,21,1;;;;;;
4;Maumee, OH;01/03/2023;16,12,2,9;;;;;;
5;Laurinburg, NC;05/01/2023;4,24,10,9;;;;;;
6;Texas City, TX;14/06/2023;17,19,8,15;;;;;;
7;West Palm Beach, FL;04/02/2023;11,13,20,16;;;;;;
8;Torrance, CA;11/04/2023;2,11,16,14;;;;;;
9;Chester, PA;01/03/2023;5,15,23,5;;;;;;
10;Waterville, OH;16/02/2023;1,14,25,6;;;;;;
1;Ankeny, IA;15/06/2023;15,19,22,15;;;;;;
2;Phoenix, AZ;08/01/2023;22,11,19,24;;;;;;
3;Baton Rouge, LA;23/01/2023;9,14,19,14;;;;;;
4;Maumee, OH;23/02/2023;13,16,1,19;;;;;;
5;Laurinburg, NC;03/04/2023;17,3,14,12;;;;;;
6;Texas City, TX;29/04/2023;2,18,23,17;;;;;;
7;West Palm Beach, FL;26/02/2023;23,12,11,21;;;;;;
8;Torrance, CA;06/06/2023;3,11,17,25;;;;;;
9;Chester, PA;31/03/2023;24,8,1,7;;;;;;
10;Waterville, OH;18/05/2023;3,23,23,13;;;;;;
1;Ankeny, IA;03/03/2023;14,18,23,20;;;;;;
2;Phoenix, AZ;02/04/2023;25,16,14,19;;;;;;
3;Baton Rouge, LA;09/05/2023;7,22,23,24;;;;;;
4;Maumee, OH;05/02/2023;25,9,19,9;;;;;;
5;Laurinburg, NC;04/03/2023;24,25,9,6;;;;;;
6;Texas City, TX;01/05/2023;25,9,15,1;;;;;;
7;West Palm Beach, FL;19/06/2023;12,3,8,8;;;;;;
8;Torrance, CA;07/06/2023;14,6,20,12;;;;;;
9;Chester, PA;01/06/2023;17,20,20,23;;;;;;
10;Waterville, OH;22/05/2023;11,18,21,13;;;;;;
1;Ankeny, IA;08/02/2023;11,17,3,2;;;;;;
2;Phoenix, AZ;04/04/2023;16,20,9,24;;;;;;
3;Baton Rouge, LA;10/04/2023;25,7,15,2;;;;;;
4;Maumee, OH;29/01/2023;2,25,22,16;;;;;;
5;Laurinburg, NC;03/05/2023;5,12,18,24;;;;;;
6;Texas City, TX;29/01/2023;13,17,23,1;;;;;;
7;West Palm Beach, FL;03/04/2023;20,3,12,5;;;;;;
8;Torrance, CA;10/05/2023;5,7,1,22;;;;;;
9;Chester, PA;23/01/2023;13,16,1,1;;;;;;
10;Waterville, OH;01/03/2023;3,15,1,14;;;;;;
1;Ankeny, IA;13/04/2023;11,22,11,6;;;;;;
2;Phoenix, AZ;14/02/2023;20,24,16,2;;;;;;
3;Baton Rouge, LA;03/01/2023;5,16,25,8;;;;;;
4;Maumee, OH;12/04/2023;6,20,14,4;;;;;;
5;Laurinburg, NC;13/06/2023;20,8,3,23;;;;;;
6;Texas City, TX;12/04/2023;9,7,8,9;;;;;;
7;West Palm Beach, FL;23/03/2023;12,5,9,11;;;;;;
8;Torrance, CA;07/02/2023;18,11,4,5;;;;;;
9;Chester, PA;20/05/2023;13,9,21,9;;;;;;
10;Waterville, OH;19/02/2023;9,8,9,1;;;;;;
1;Ankeny, IA;06/02/2023;22,3,22,3;;;;;;
2;Phoenix, AZ;19/06/2023;10,23,18,19;;;;;;
3;Baton Rouge, LA;16/05/2023;22,20,17,20;;;;;;
4;Maumee, OH;06/05/2023;4,24,21,8;;;;;;
5;Laurinburg, NC;22/03/2023;20,13,22,6;;;;;;
6;Texas City, TX;10/06/2023;25,4,7,3;;;;;;
7;West Palm Beach, FL;04/02/2023;4,1,9,7;;;;;;
8;Torrance, CA;26/01/2023;5,21,8,17;;;;;;
9;Chester, PA;19/01/2023;23,12,16,4;;;;;;
10;Waterville, OH;13/04/2023;7,20,14,23;;;;;;
1;Ankeny, IA;05/02/2023;23,23,22,11;;;;;;
2;Phoenix, AZ;10/05/2023;14,25,5,7;;;;;;
3;Baton Rouge, LA;22/02/2023;13,11,13,20;;;;;;
4;Maumee, OH;03/01/2023;2,13,13,14;;;;;;
5;Laurinburg, NC;15/06/2023;18,9,21,1;;;;;;
6;Texas City, TX;26/06/2023;10,25,11,13;;;;;;
7;West Palm Beach, FL;02/05/2023;24,17,7,4;;;;;;
8;Torrance, CA;24/01/2023;6,11,2,19;;;;;;
9;Chester, PA;09/05/2023;2,20,8,20;;;;;;
10;Waterville, OH;31/01/2023;19,14,8,4;;;;;;
1;Ankeny, IA;19/02/2023;9,22,16,13;;;;;;
2;Phoenix, AZ;15/04/2023;3,9,10,22;;;;;;
3;Baton Rouge, LA;12/06/2023;9,6,9,1;;;;;;
4;Maumee, OH;07/04/2023;20,1,6,21;;;;;;
5;Laurinburg, NC;15/04/2023;5,22,16,18;;;;;;
6;Texas City, TX;30/04/2023;14,14,14,12;;;;;;
7;West Palm Beach, FL;16/04/2023;17,18,1,4;;;;;;
8;Torrance, CA;13/02/2023;2,23,10,2;;;;;;
9;Chester, PA;05/01/2023;16,22,10,14;;;;;;
10;Waterville, OH;19/02/2023;18,5,11,12;;;;;;
1;Ankeny, IA;06/04/2023;12,22,12,21;;;;;;
2;Phoenix, AZ;24/05/2023;15,7,8,1;;;;;;
3;Baton Rouge, LA;25/04/2023;17,24,10,11;;;;;;
4;Maumee, OH;04/05/2023;18,12,18,12;;;;;;
5;Laurinburg, NC;30/01/2023;18,4,8,18;;;;;;
6;Texas City, TX;17/05/2023;14,22,21,12;;;;;;
7;West Palm Beach, FL;04/06/2023;8,10,10,3;;;;;;
8;Torrance, CA;25/06/2023;6,13,15,6;;;;;;
9;Chester, PA;05/03/2023;22,9,3,11;;;;;;
10;Waterville, OH;17/03/2023;6,20,7,9;;;;;;
1;Ankeny, IA;08/06/2023;5,11,9,16;;;;;;
2;Phoenix, AZ;18/01/2023;14,24,18,2;;;;;;
3;Baton Rouge, LA;06/01/2023;22,20,4,12;;;;;;
4;Maumee, OH;04/06/2023;10,9,9,13;;;;;;
5;Laurinburg, NC;03/01/2023;18,10,12,15;;;;;;
6;Texas City, TX;31/03/2023;14,7,12,15;;;;;;
7;West Palm Beach, FL;11/06/2023;18,5,2,5;;;;;;
8;Torrance, CA;10/06/2023;5,20,9,25;;;;;;
9;Chester, PA;09/05/2023;16,8,25,3;;;;;;
10;Waterville, OH;22/05/2023;19,10,20,6;;;;;;
1;Ankeny, IA;27/04/2023;15,18,22,15;;;;;;
2;Phoenix, AZ;06/02/2023;21,12,8,16;;;;;;
3;Baton Rouge, LA;27/05/2023;13,15,7,1;;;;;;
4;Maumee, OH;31/01/2023;10,12,5,21;;;;;;
5;Laurinburg, NC;04/03/2023;23,3,2,21;;;;;;
6;Texas City, TX;25/01/2023;18,25,1,11;;;;;;
7;West Palm Beach, FL;12/02/2023;3,8,25,12;;;;;;
8;Torrance, CA;10/01/2023;24,13,13,7;;;;;;
9;Chester, PA;07/02/2023;13,4,23,24;;;;;;
10;Waterville, OH;24/02/2023;9,21,23,11;;;;;;
1;Ankeny, IA;01/05/2023;13,10,6,23;;;;;;
2;Phoenix, AZ;21/05/2023;2,6,19,17;;;;;;
3;Baton Rouge, LA;17/01/2023;7,1,21,7;;;;;;
4;Maumee, OH;10/04/2023;19,12,10,13;;;;;;
5;Laurinburg, NC;21/06/2023;20,23,8,7;;;;;;
6;Texas City, TX;03/06/2023;15,1,15,15;;;;;;
7;West Palm Beach, FL;17/06/2023;14,12,15,9;;;;;;
8;Torrance, CA;28/02/2023;20,4,11,8;;;;;;
9;Chester, PA;26/02/2023;10,16,21,21;;;;;;
10;Waterville, OH;17/06/2023;20,6,3,21;;;;;;
1;Ankeny, IA;31/01/2023;2,24,15,16;;;;;;
2;Phoenix, AZ;14/02/2023;5,6,11,23;;;;;;
3;Baton Rouge, LA;01/01/2023;23,6,18,17;;;;;;
4;Maumee, OH;15/01/2023;10,9,3,12;;;;;;
5;Laurinburg, NC;29/01/2023;5,6,3,6;;;;;;
6;Texas City, TX;17/02/2023;25,7,16,2;;;;;;
7;West Palm Beach, FL;27/01/2023;18,10,15,18;;;;;;
8;Torrance, CA;11/04/2023;24,10,5,22;;;;;;
9;Chester, PA;06/01/2023;5,16,13,5;;;;;;
10;Waterville, OH;04/04/2023;12,18,13,18;;;;;;
1;Ankeny, IA;06/06/2023;23,22,18,17;;;;;;
2;Phoenix, AZ;29/01/2023;8,3,5,17;;;;;;
3;Baton Rouge, LA;04/05/2023;1,7,14,15;;;;;;
4;Maumee, OH;29/03/2023;21,25,22,14;;;;;;
5;Laurinburg, NC;15/01/2023;4,18,20,22;;;;;;
6;Texas City, TX;29/05/2023;1,4,15,17;;;;;;
7;West Palm Beach, FL;12/01/2023;3,7,6,14;;;;;;
8;Torrance, CA;04/04/2023;15,5,4,6;;;;;;
9;Chester, PA;24/01/2023;21,18,6,20;;;;;;
10;Waterville, OH;11/02/2023;11,17,1,11;;;;;;
1;Ankeny, IA;01/06/2023;21,20,16,16;;;;;;
2;Phoenix, AZ;27/02/2023;20,4,10,18;;;;;;
3;Baton Rouge, LA;20/04/2023;15,13,9,17;;;;;;
4;Maumee, OH;09/05/2023;18,1,7,6;;;;;;
5;Laurinburg, NC;18/02/2023;24,20,4,9;;;;;;
6;Texas City, TX;09/06/2023;24,1,19,12;;;;;;
7;West Palm Beach, FL;14/05/2023;11,18,13,4;;;;;;
8;Torrance, CA;04/06/2023;17,10,20,17;;;;;;
9;Chester, PA;26/05/2023;5,11,6,15;;;;;;
10;Waterville, OH;14/05/2023;5,14,10,10;;;;;;
1;Ankeny, IA;13/04/2023;6,1,25,5;;;;;;
2;Phoenix, AZ;18/06/2023;25,23,7,16;;;;;;
3;Baton Rouge, LA;16/03/2023;1,20,23,23;;;;;;
4;Maumee, OH;22/02/2023;13,5,9,13;;;;;;
5;Laurinburg, NC;04/02/2023;1,10,18,16;;;;;;
6;Texas City, TX;04/02/2023;19,4,7,5;;;;;;
7;West Palm Beach, FL;05/01/2023;7,11,6,16;;;;;;
8;Torrance, CA;03/03/2023;9,22,22,10;;;;;;
9;Chester, PA;30/03/2023;22,16,5,15;;;;;;
10;Waterville, OH;02/06/2023;23,21,13,1;;;;;;
1;Ankeny, IA;30/05/2023;19,24,7,2;;;;;;
2;Phoenix, AZ;04/06/2023;4,11,23,6;;;;;;
3;Baton Rouge, LA;17/04/2023;7,13,20,24;;;;;;
4;Maumee, OH;31/03/2023;24,23,25,22;;;;;;
5;Laurinburg, NC;03/05/2023;19,4,20,5;;;;;;
6;Texas City, TX;15/03/2023;2,17,6,2;;;;;;
7;West Palm Beach, FL;03/04/2023;23,24,9,6;;;;;;
8;Torrance, CA;26/03/2023;5,17,21,1;;;;;;
9;Chester, PA;15/01/2023;14,8,21,5;;;;;;
10;Waterville, OH;17/05/2023;22,6,9,15;;;;;;
1;Ankeny, IA;02/05/2023;13,8,8,25;;;;;;
2;Phoenix, AZ;28/03/2023;18,25,23,7;;;;;;
3;Baton Rouge, LA;10/04/2023;1,14,5,2;;;;;;
4;Maumee, OH;09/04/2023;14,24,5,20;;;;;;
5;Laurinburg, NC;04/04/2023;18,2,2,20;;;;;;
6;Texas City, TX;31/05/2023;23,22,11,10;;;;;;
7;West Palm Beach, FL;17/02/2023;23,11,13,6;;;;;;
8;Torrance, CA;11/02/2023;15,15,20,14;;;;;;
9;Chester, PA;13/03/2023;7,21,9,5;;;;;;
10;Waterville, OH;05/03/2023;5,25,13,4;;;;;;
1;Ankeny, IA;13/05/2023;21,14,7,14;;;;;;
2;Phoenix, AZ;02/03/2023;20,4,22,12;;;;;;
3;Baton Rouge, LA;16/04/2023;20,22,25,4;;;;;;
4;Maumee, OH;24/05/2023;12,22,12,11;;;;;;
5;Laurinburg, NC;26/06/2023;1,23,10,16;;;;;;
6;Texas City, TX;07/06/2023;17,15,2,9;;;;;;
7;West Palm Beach, FL;10/06/2023;1,5,19,2;;;;;;
8;Torrance, CA;30/03/2023;9,2,12,2;;;;;;
9;Chester, PA;17/06/2023;22,9,12,18;;;;;;
10;Waterville, OH;03/06/2023;23,20,12,25;;;;;;
1;Ankeny, IA;18/04/2023;25,15,10,12;;;;;;
2;Phoenix, AZ;28/01/2023;5,9,18,22;;;;;;
3;Baton Rouge, LA;29/04/2023;10,15,13,10;;;;;;
4;Maumee, OH;12/05/2023;8,23,13,10;;;;;;
5;Laurinburg, NC;04/04/2023;17,14,25,16;;;;;;
6;Texas City, TX;16/04/2023;4,8,7,10;;;;;;
7;West Palm Beach, FL;24/06/2023;8,4,22,4;;;;;;
8;Torrance, CA;05/05/2023;5,16,13,10;;;;;;
9;Chester, PA;24/01/2023;25,25,14,3;;;;;;
10;Waterville, OH;05/04/2023;18,11,18,23;;;;;;
1;Ankeny, IA;18/05/2023;14,17,15,18;;;;;;
2;Phoenix, AZ;23/02/2023;21,17,23,13;;;;;;
3;Baton Rouge, LA;05/03/2023;17,8,5,16;;;;;;
4;Maumee, OH;23/04/2023;13,8,8,7;;;;;;
5;Laurinburg, NC;22/01/2023;13,15,11,1;;;;;;
6;Texas City, TX;09/01/2023;7,16,1,15;;;;;;
7;West Palm Beach, FL;09/03/2023;25,23,17,21;;;;;;
8;Torrance, CA;21/01/2023;1,2,23,3;;;;;;
9;Chester, PA;30/03/2023;16,22,17,14;;;;;;
10;Waterville, OH;15/01/2023;9,13,2,21;;;;;;
1;Ankeny, IA;16/02/2023;14,15,1,21;;;;;;
2;Phoenix, AZ;16/02/2023;4,15,1,2;;;;;;
3;Baton Rouge, LA;19/04/2023;16,22,13,2;;;;;;
4;Maumee, OH;17/03/2023;8,24,22,8;;;;;;
5;Laurinburg, NC;12/03/2023;13,21,4,10;;;;;;
6;Texas City, TX;10/01/2023;20,20,11,12;;;;;;
7;West Palm Beach, FL;30/05/2023;5,24,11,24;;;;;;
8;Torrance, CA;23/05/2023;22,12,23,7;;;;;;
9;Chester, PA;04/06/2023;15,14,8,20;;;;;;
10;Waterville, OH;09/05/2023;24,6,16,15;;;;;;
